GENE	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10
COX5B	50.0859	53.0935	55.9719	45.0239	48.2803	48.3198	43.5422	51.1418	47.1805	46.2731
COX6B1	32.1274	28.1958	31.9274	25.9703	27.2425	27.7539	23.0592	27.4453	26.1248	26.1707
COX7A1	2.3086	0.7501	1.5527	1.1576	1.1837	1.2450	0.3908	0.9014	0.9895	1.2337
COX7B	43.1309	24.9786	31.6352	26.2514	23.3295	30.5747	22.7381	20.3979	23.6704	22.4083
COX8C	0.0140	0.0140	0.0000	0.0140	0.0000	0.0210	0.0350	0.0000	0.0140	0.0070
CP	6.0289	4.1260	5.9216	3.2156	3.8465	3.8262	1.6742	3.7637	2.9926	2.8144
CPLX4	0.0037	0.0094	0.0076	0.0018	0.0019	0.0065	0.0064	0.0057	0.0056	0.0047
CPN1	0.0220	0.0440	0.0440	0.1100	0.1320	0.0220	0.0550	0.0880	0.0440	0.0220
CPN2	0.7623	0.7284	0.1026	0.8100	0.1785	1.0493	1.7077	0.1217	0.7330	0.3881
CPNE6	1.4004	5.0311	4.8559	0.2400	1.2827	2.7017	1.6841	3.6798	2.6329	2.5484
CPSF1	0.5803	0.7797	0.7273	1.0633	1.1619	0.6506	0.8590	0.9766	0.7711	0.6579
CPSF2	4.5698	3.9066	3.9926	3.3002	2.9358	4.2456	3.8374	3.2362	3.7698	3.8072
CPSF6	7.2131	8.2375	7.9431	5.8468	5.7362	7.4825	7.1509	6.7517	6.8007	6.2938
CPXCR1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CREB3L2	7.0153	5.2049	4.8605	6.0969	4.9149	6.5756	6.9423	4.5190	5.9267	5.8547
CREB3L4	0.3026	0.3792	0.3604	0.5908	0.6458	0.3204	0.4429	0.5108	0.3904	0.3226
CRH	0.1212	0.4590	0.4504	0.0086	0.1126	0.2381	0.1341	0.3378	0.2338	0.2295
CRIP1	1.1825	1.4303	1.4933	2.4129	2.7605	1.1965	1.5744	2.1816	1.5949	1.4512
CRISPLD1	0.5907	1.0280	1.1118	0.2118	0.4055	0.6721	0.3641	0.8001	0.6198	0.6347
CRK	5.8043	5.9420	5.9930	5.1734	5.1803	6.0771	5.6290	5.8395	6.1750	6.7503
CRTAC1	0.2432	0.3237	0.3251	0.1505	0.1686	0.2703	0.2162	0.2587	0.2517	0.2594
CRTAM	0.0618	0.0924	0.0832	0.1127	0.1231	0.0969	0.1092	0.1309	0.1314	0.1627
CRTC2	3.0079	2.7032	2.6636	3.2087	3.0828	2.8001	3.0424	2.7002	2.6848	2.4053
CRYAB	270.2090	108.1766	170.6334	130.7356	109.4148	163.1706	91.2072	83.7778	113.0662	115.5796
CRYBB1	0.0323	0.0532	0.0612	0.0080	0.0203	0.0326	0.0123	0.0409	0.0286	0.0286
CRYBB2	0.2467	0.5804	0.5368	0.2893	0.3806	0.3871	0.3750	0.5276	0.4200	0.4011
CRYGA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CRYGN	0.0052	0.0208	0.0208	0.0000	0.0052	0.0104	0.0052	0.0156	0.0104	0.0104
CSE1L	6.9321	7.5809	7.3999	4.9747	4.7421	7.2185	6.5237	6.0918	6.5719	6.5746
OR6B1	0.0158	0.0158	0.0000	0.0158	0.0000	0.0237	0.0395	0.0000	0.0158	0.0079
CSRNP1	2.0511	1.9228	2.0638	1.4729	1.4756	2.0110	1.6374	1.7976	1.9636	2.2282
CSRNP3	0.8904	2.6290	2.5760	0.2840	0.8064	1.4875	0.9551	1.9710	1.4438	1.4015
CST7	0.4086	0.2549	0.3115	0.4737	0.4812	0.3193	0.3241	0.3615	0.3421	0.3498
CST9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CSTF2	1.2233	1.3912	1.3096	1.1019	1.0662	1.3389	1.3300	1.2322	1.2968	1.2987
CSTL1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CSTT	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CT45A4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CTAG1A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CTAGE1	0.0192	0.0156	0.0036	0.0165	0.0027	0.0243	0.0358	0.0027	0.0174	0.0123
CTGF	29.2389	15.5774	20.0734	15.5936	12.7359	19.9316	14.2425	10.9223	14.0744	12.7114
CTNND2	2.1385	7.1768	7.3058	0.2684	2.0475	3.6995	1.8447	5.4551	3.6514	3.6227
CTSE	0.0349	0.0608	0.0536	0.1385	0.1572	0.0403	0.0854	0.1072	0.0644	0.0385
CUEDC2	2.5590	3.4030	3.4738	1.8062	2.0858	2.8622	2.3001	2.9596	2.8098	2.9960
OR6B3	0.0076	0.0304	0.0304	0.0000	0.0076	0.0152	0.0076	0.0228	0.0152	0.0152
CWC22	5.7029	5.7250	5.5184	4.0727	3.6238	6.0660	5.5149	4.7648	5.7158	6.2422
CX3CL1	1.3656	2.3180	2.1752	0.7760	0.9088	1.7886	1.4922	1.7244	1.6676	1.6854
CX3CR1	0.6603	2.2306	2.2140	0.1243	0.6292	1.1952	0.6820	1.6860	1.1862	1.1852
CXADR	1.1991	1.2045	1.3097	0.9412	1.0088	1.0239	0.8806	1.0259	0.8733	0.6968
CXCL1	1.3535	1.1090	1.2756	0.9397	0.9486	1.0626	0.8500	0.9262	0.8674	0.7366
CXCL10	0.2777	0.2653	0.2529	0.1813	0.1493	0.3184	0.2769	0.2338	0.3199	0.3987
CXCR7	0.3822	0.3159	0.3515	0.3653	0.3728	0.3832	0.3342	0.3905	0.4299	0.5325
CXorf21	0.9119	0.9613	0.9985	1.0809	1.1631	1.0936	1.0193	1.2800	1.3531	1.7251
OR6C2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CXorf40A	0.3816	0.4058	0.3980	0.2535	0.2353	0.3780	0.3394	0.3005	0.3216	0.2958
CXorf41	0.0107	0.0192	0.0124	0.0148	0.0119	0.0164	0.0233	0.0133	0.0146	0.0096
OR6F1	0.0155	0.0130	0.0170	0.0315	0.0370	0.0095	0.0138	0.0240	0.0130	0.0075
CXorf58	0.0618	0.0257	0.0451	0.0266	0.0267	0.0352	0.0121	0.0232	0.0255	0.0291
CXorf61	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CXorf67	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CYB5A	9.7891	9.6885	5.0761	11.0078	6.5442	12.8915	17.5784	6.6687	11.7797	11.0418
CYC1	4.5492	3.5067	4.0619	3.8736	3.9239	3.5111	3.1164	3.3668	3.0609	2.5912
CYorf15B	0.2346	0.1849	0.1515	0.1489	0.0832	0.2401	0.2480	0.1105	0.1973	0.1992
CYP26C1	0.0082	0.0164	0.0164	0.0410	0.0492	0.0082	0.0205	0.0328	0.0164	0.0082
CYP27A1	0.3635	0.5110	0.3430	0.4582	0.3615	0.5608	0.7029	0.4465	0.5852	0.6184
CYP27B1	0.4383	0.4246	0.0430	0.4615	0.0782	0.6215	1.0164	0.0560	0.4334	0.2351
CYP2A13	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CYP2B6	0.3075	0.2301	0.1345	0.3398	0.2194	0.3027	0.4400	0.1375	0.2301	0.1282
CYP2B7P1	0.0489	0.0732	0.0578	0.0863	0.0860	0.0606	0.0874	0.0736	0.0628	0.0434
CYP2F1	0.0526	0.0742	0.0458	0.0714	0.0542	0.0750	0.1057	0.0556	0.0698	0.0556
CYP3A7	0.0987	0.0930	0.0342	0.0863	0.0234	0.1263	0.1815	0.0274	0.0926	0.0645
CYP4F22	0.0084	0.0084	0.0056	0.0084	0.0056	0.0154	0.0154	0.0112	0.0196	0.0294
CYP7A1	0.0078	0.0026	0.0052	0.0039	0.0039	0.0052	0.0019	0.0039	0.0052	0.0078
CYR61	33.7707	17.2572	22.1534	18.3803	14.5574	23.8984	17.4301	12.8798	17.9976	18.2136
CYSLTR2	1.3924	0.7814	1.1856	0.7346	0.8026	0.8447	0.3838	0.7172	0.6398	0.6243
CYTH1	5.2415	5.6617	6.0441	5.8407	6.4769	5.1276	4.9208	6.2962	5.4835	5.4923
CYTL1	1.4113	1.2977	1.6707	1.1610	1.4518	1.0996	0.6973	1.4439	1.1101	1.1441
OR6K3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR6T1	0.0038	0.0038	0.0000	0.0038	0.0000	0.0057	0.0095	0.0000	0.0038	0.0019
OR7D2	0.0696	0.0694	0.0776	0.0597	0.0663	0.0586	0.0500	0.0647	0.0528	0.0440
OR7E5P	0.0237	0.0234	0.0172	0.0212	0.0145	0.0249	0.0311	0.0139	0.0192	0.0127
D4S234E	0.6802	2.0395	1.9655	0.3064	0.6977	1.1611	0.8171	1.5520	1.1393	1.0778
DACT3	0.3947	0.6067	0.6777	0.2599	0.3917	0.3927	0.2450	0.5304	0.3713	0.3374
DAG1	5.5714	3.9027	4.5183	4.1317	3.8840	4.3562	3.7047	3.4951	3.6987	3.4577
DAK	0.8610	1.2510	0.8308	1.0573	0.8173	1.2076	1.6200	0.9081	1.1044	0.8822
DAPK2	1.2083	0.8568	1.1622	1.3688	1.5637	0.8493	0.7223	1.2169	0.9262	0.8973
OR8D2	0.0078	0.0078	0.0078	0.0078	0.0078	0.0156	0.0117	0.0156	0.0234	0.0390
OR8I2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR8K1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
OR9A2	0.0122	0.0488	0.0488	0.0000	0.0122	0.0244	0.0122	0.0366	0.0244	0.0244
DBF4	0.2227	0.1946	0.1966	0.1610	0.1427	0.2198	0.1961	0.1697	0.2064	0.2278
DBH	0.0786	0.0748	0.0116	0.0712	0.0054	0.1076	0.1694	0.0062	0.0720	0.0384
DBN1	8.5063	10.6725	10.5939	6.7035	7.1807	9.5107	8.3300	9.4498	9.3819	9.9118
OR9I1	0.0172	0.0226	0.0108	0.0388	0.0324	0.0231	0.0430	0.0216	0.0226	0.0113
DBT	2.5153	2.2062	2.1132	1.7209	1.3868	2.3922	2.2763	1.5974	2.0030	1.8924
DCAF12L1	0.0362	0.0362	0.0000	0.0362	0.0000	0.0543	0.0905	0.0000	0.0362	0.0181
DCAF13	3.9918	3.2259	2.9903	2.9055	2.2082	3.7254	3.7648	2.2911	3.0659	2.7935
DCAF15	0.1771	0.2561	0.2449	0.2734	0.3074	0.2043	0.2387	0.2893	0.2317	0.2072
DCP1A	2.4473	2.1272	2.2602	2.3304	2.3223	2.2647	2.1571	2.2199	2.2530	2.3179
DCP1B	1.0597	1.2977	1.1817	0.9704	0.9322	1.2167	1.2397	1.1159	1.1753	1.1574
DCP2	2.2667	2.6410	2.5712	1.7593	1.7554	2.4448	2.2335	2.2294	2.3106	2.3420
DCST1	0.0115	0.0162	0.0094	0.0303	0.0282	0.0149	0.0288	0.0188	0.0162	0.0081
DCTN3	4.1708	6.1219	6.2739	3.0832	3.8183	4.8665	3.8353	5.4758	4.9293	5.2816
DCTN6	9.1647	9.9382	10.4022	5.8601	6.1132	9.2655	7.3343	8.3444	8.6350	9.2513
DDAH2	8.3146	9.1219	8.9283	9.1531	9.3990	9.9458	9.6637	10.6061	11.4551	13.8037
DDI2	4.8539	4.9249	4.5753	4.4905	4.1123	5.4354	5.4391	4.7256	5.5391	6.1565
DDN	1.5619	5.7083	5.5459	0.2023	1.4255	3.0274	1.8153	4.1798	2.9553	2.8767
DDX25	0.3316	1.2004	1.1678	0.1031	0.3695	0.6328	0.4017	0.9111	0.6306	0.6002
DDX46	8.4904	7.7891	7.9487	6.4808	6.0615	8.2263	7.4129	6.8514	7.6653	8.0166
DDX51	0.5052	0.6898	0.6376	0.4363	0.4445	0.5870	0.5777	0.5657	0.5528	0.5156
DDX58	2.1593	2.1357	1.8391	1.8959	1.5497	2.3629	2.5314	1.7432	2.1943	2.1932
DDX60L	1.8405	1.2621	1.5473	1.4340	1.4342	1.5969	1.2281	1.4631	1.6469	2.0192
DEAF1	0.3228	0.7057	0.7003	0.2905	0.4274	0.4429	0.3624	0.6211	0.4593	0.4288
DEDD2	1.1046	1.3865	1.4173	0.9959	1.1184	1.1310	1.0267	1.2621	1.0897	1.0019
DEFB103A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DEFB103B	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DEFB107A	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DEFB118	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DEFB124	0.0170	0.0170	0.0170	0.0170	0.0170	0.0340	0.0255	0.0340	0.0510	0.0850
DEFB130	0.0772	0.0772	0.0000	0.0772	0.0000	0.1158	0.1930	0.0000	0.0772	0.0386
DEFB133	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DEFB134	0.0365	0.0365	0.0365	0.0365	0.0365	0.0730	0.0548	0.0730	0.1095	0.1825
DENND1C	1.7147	2.1133	0.8437	3.0244	2.1096	2.3687	4.1171	1.4849	2.0641	1.0910
DENND2C	0.3787	0.2159	0.2865	0.2488	0.2368	0.2812	0.1980	0.2195	0.2519	0.2855
DENND4C	5.4649	4.4440	4.4628	4.7327	4.2462	5.5007	5.2169	4.5286	5.5656	6.4285
DEPDC4	0.4113	0.3875	0.2947	0.3304	0.2160	0.4577	0.5203	0.2559	0.3919	0.3682
DERL2	2.2352	1.8537	1.8663	1.9728	1.7983	2.1116	2.0714	1.7636	2.0079	2.0639
DEXI	3.1422	2.9793	3.2897	2.3112	2.4311	2.8189	2.2792	2.6854	2.5879	2.5836
DFNB59	0.3041	0.3844	0.2844	0.3471	0.2846	0.4321	0.5066	0.3518	0.4548	0.5019
DGAT2L6	0.0089	0.0134	0.0090	0.0269	0.0270	0.0111	0.0222	0.0180	0.0134	0.0067
DGCR10	0.0763	0.1132	0.0492	0.0640	0.0123	0.1206	0.1723	0.0369	0.0886	0.0566
DGCR5	0.1943	0.6762	0.6454	0.0523	0.1850	0.3689	0.2470	0.4948	0.3578	0.3381
DGKB	1.3811	5.0915	5.0131	0.3302	1.5172	2.6411	1.5622	3.8747	2.6431	2.5576
DGKE	0.6934	1.1279	1.1295	0.5581	0.7060	0.8214	0.6866	0.9745	0.8091	0.7771
DGKQ	0.1009	0.1503	0.1383	0.1425	0.1559	0.1224	0.1407	0.1566	0.1333	0.1209
DHDDS	5.6163	6.3931	5.9001	6.0767	5.9533	7.9471	7.5451	7.9092	9.7473	13.0962
DHFRL1	0.9795	0.9479	0.7929	0.7413	0.5375	1.0359	1.1111	0.6398	0.8713	0.7918
DHH	0.0128	0.0065	0.0083	0.0123	0.0116	0.0081	0.0083	0.0071	0.0065	0.0042
DHRS3	5.1422	4.9378	4.5686	5.2489	4.8175	6.0649	6.1139	5.4667	6.6984	8.1233
DHRS7	11.9702	9.8902	9.1784	8.5824	6.5494	11.2393	11.2715	6.9668	9.2342	8.4053
ORC4L	6.9126	8.9997	8.2773	4.6777	4.4142	7.8922	7.3655	6.5571	6.9801	6.5827
DHX15	22.5854	21.7336	21.9422	18.6985	17.9815	21.6106	20.3751	19.0729	19.8450	19.0970
DHX32	3.4039	2.7491	2.9201	3.0571	2.9229	2.9557	2.8579	2.6462	2.7229	2.5630
DHX37	1.2232	1.3897	1.3927	1.1820	1.2427	1.2396	1.2054	1.3084	1.2079	1.1331
DHX40P	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DHX8	2.3678	2.7148	2.6172	2.5104	2.5682	2.5902	2.6425	2.7184	2.6788	2.7260
DIMT1L	4.9131	3.6743	4.2459	3.2352	3.0722	3.9855	3.1371	3.1433	3.3991	3.3880
DIP2B	2.5390	3.7688	3.6936	2.1321	2.4673	2.9197	2.6196	3.2187	2.8162	2.6447
DIRAS1	9.1963	6.6220	9.6422	3.4985	4.6520	5.7796	1.6203	5.4174	4.2240	4.1414
DIRAS3	2.4562	5.7498	5.5716	0.9094	1.7600	3.5439	2.5012	4.0982	3.2174	2.9643
DIS3L	3.6660	3.6743	3.7205	2.9257	2.8612	3.8413	3.4108	3.4595	3.8331	4.3042
DKFZP434K028	0.0040	0.0040	0.0000	0.0040	0.0000	0.0060	0.0100	0.0000	0.0040	0.0020
DKFZP434L187	0.0071	0.0106	0.0096	0.0146	0.0161	0.0077	0.0114	0.0127	0.0088	0.0055
DKK1	0.0743	0.0247	0.0453	0.0371	0.0329	0.0473	0.0226	0.0286	0.0409	0.0550
DKK2	0.4298	0.3484	0.4602	0.2407	0.2921	0.3604	0.1857	0.3679	0.3634	0.4632
DKK4	0.0161	0.0207	0.0253	0.0046	0.0092	0.0138	0.0046	0.0161	0.0115	0.0115
DKKL1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DLEC1	0.1445	0.2901	0.2781	0.1653	0.2125	0.2160	0.1976	0.2892	0.2483	0.2709
DLGAP1	3.3775	12.7423	12.6649	0.5913	3.6871	6.4979	3.6027	9.7098	6.5225	6.3782
DLGAP3	0.1556	0.5498	0.5530	0.0502	0.1888	0.2808	0.1585	0.4330	0.2858	0.2762
DLST	7.0134	5.3384	5.0676	5.8852	4.7966	6.4616	6.7065	4.4592	5.6784	5.4150
DLX3	0.0180	0.0036	0.0108	0.0072	0.0072	0.0072	0.0000	0.0036	0.0036	0.0036
DMP1	0.0267	0.0326	0.0312	0.0126	0.0113	0.0275	0.0232	0.0199	0.0212	0.0177
DMRT3	0.0085	0.0190	0.0190	0.0050	0.0085	0.0170	0.0110	0.0205	0.0220	0.0320
DMRTC2	0.0386	0.0417	0.0233	0.0640	0.0507	0.0519	0.0779	0.0416	0.0539	0.0488
DMWD	1.6169	2.0825	2.1863	1.5020	1.7672	1.6364	1.4348	1.9721	1.6169	1.4981
DMXL1	3.7720	4.2753	3.3181	3.0448	2.1693	4.4835	5.0252	2.8712	3.8979	3.5926
DNAH17	0.0693	0.2056	0.2032	0.0269	0.0704	0.1137	0.0730	0.1574	0.1112	0.1053
DNAH5	0.1567	0.3785	0.3123	0.0871	0.0955	0.2663	0.2590	0.2436	0.2371	0.2088
DNAI1	0.1382	0.2848	0.2422	0.0889	0.0951	0.2032	0.1994	0.1879	0.1766	0.1450
DNAJB1	5.0305	5.8488	5.4564	4.7638	4.6451	5.6974	5.7204	5.3853	5.7010	5.9002
DNAJB11	33.6114	22.9167	27.4331	21.8779	20.4758	26.1364	20.1268	19.9317	22.0355	22.1667
DNAJB6	19.6592	19.8410	21.7144	14.1256	15.2176	18.1171	14.4111	17.6198	16.7038	16.7295
DNAJB7	0.1733	0.2298	0.1882	0.1978	0.1817	0.2358	0.2638	0.2189	0.2512	0.2728
DNAJB9	17.0036	12.0965	13.4839	9.3170	7.6345	13.5712	10.7855	8.2798	10.2935	9.4983
DNAJC16	4.6360	4.9928	4.2266	3.7232	2.9538	5.0931	5.4575	3.5742	4.4208	4.0089
DNAJC22	0.4929	0.6117	0.2667	0.8459	0.6009	0.6717	1.1447	0.4354	0.5867	0.3174
DNAJC30	1.3479	1.5772	1.5230	1.0613	1.0512	1.4302	1.3378	1.2960	1.3172	1.2638
DNAL1	2.2165	3.4046	3.1764	1.5583	1.6858	2.7754	2.4824	2.6678	2.6294	2.6330
DND1	0.1683	0.1649	0.1397	0.2132	0.1936	0.1739	0.2200	0.1619	0.1689	0.1412
DNM1	4.7593	16.4384	16.2926	1.1670	4.9605	8.8543	5.1582	12.7137	9.0030	9.1651
DNMBP	2.3470	2.3554	2.0654	3.1541	2.9915	2.5471	3.1197	2.6133	2.7036	2.6009
DNPEP	1.0724	0.7442	0.8476	0.8516	0.7948	0.8887	0.7790	0.7312	0.8162	0.8481
DOCK10	1.3534	2.7088	2.6926	1.0823	1.5457	1.9320	1.5066	2.4707	2.0982	2.3136
DOCK2	1.8464	1.8035	2.0959	1.9374	2.2273	1.8973	1.5430	2.3688	2.2785	2.8416
DOLK	0.7755	0.7929	0.6777	0.5851	0.4473	0.8420	0.8789	0.5614	0.7307	0.6935
DOM3Z	0.5580	0.7239	0.6543	0.8888	0.9339	0.6051	0.7894	0.7936	0.6461	0.4956
DONSON	1.5727	1.4647	1.5383	1.2954	1.2848	1.4765	1.3301	1.3581	1.3935	1.4076
DPEP2	0.0423	0.0410	0.0410	0.0657	0.0688	0.0573	0.0588	0.0710	0.0798	0.1089
DPF2	1.2236	1.1486	1.1916	1.1810	1.1886	1.1223	1.1057	1.1202	1.0682	0.9853
DPF3	1.7045	1.4567	1.6225	1.3282	1.3408	1.3728	1.1962	1.2565	1.1483	0.9341
DPH2	0.8013	0.7785	0.7979	0.5827	0.5597	0.7595	0.6730	0.6418	0.6751	0.6532
DPH3B	3.1659	2.3773	2.8995	1.8562	1.8736	2.5568	1.7352	2.1095	2.2489	2.4607
DPY19L4	2.5690	2.1470	2.0616	1.7247	1.3471	2.4066	2.2860	1.5317	1.9964	1.9006
DPYS	4.8284	4.8196	0.0458	4.8257	0.0481	7.2102	11.9858	0.0431	4.8194	2.4286
DPYSL2	28.8552	62.5162	65.2860	11.3628	24.3880	38.7057	22.2957	50.2210	38.1758	40.0733
DPYSL3	6.7653	8.8630	10.1378	6.0444	8.0151	6.5210	4.6917	9.1191	6.8456	6.8724
DRAM1	1.0649	0.8801	0.6027	0.8431	0.4605	1.1775	1.3898	0.5254	0.9871	0.9412
DRD5	0.0401	0.0353	0.0167	0.0313	0.0095	0.0493	0.0648	0.0134	0.0383	0.0328
DRP2	0.1363	0.4525	0.4531	0.1063	0.2239	0.2345	0.1610	0.3872	0.2511	0.2318
DSCAM	0.1395	0.5276	0.5282	0.0331	0.1666	0.2660	0.1462	0.4104	0.2708	0.2642
DTHD1	0.0762	0.1571	0.1557	0.1216	0.1583	0.1150	0.1117	0.1844	0.1477	0.1637
DTWD2	1.1315	0.9625	0.8541	0.8468	0.6296	1.0865	1.1415	0.6577	0.8845	0.7708
DTX3	0.5473	1.2008	1.1884	0.4482	0.6719	0.7390	0.5954	1.0113	0.7370	0.6570
DUOX2	0.0219	0.0386	0.0274	0.0497	0.0492	0.0305	0.0503	0.0398	0.0326	0.0193
DUOXA1	0.0138	0.0166	0.0166	0.0380	0.0428	0.0118	0.0220	0.0282	0.0166	0.0088
DUPD1	0.0280	0.0056	0.0168	0.0112	0.0112	0.0112	0.0000	0.0056	0.0056	0.0056
DUS1L	1.1232	1.1919	1.1253	1.0587	1.0086	1.2027	1.2188	1.1001	1.1799	1.1964
DUSP11	0.6307	0.6981	0.6535	0.7690	0.7716	0.6780	0.7607	0.7325	0.7077	0.6781
DUSP23	4.2734	3.5654	1.9284	3.6046	1.5924	4.8351	6.3705	1.5868	3.7174	2.9269
DUSP26	1.9658	2.0737	2.6571	0.6606	1.0847	1.5092	0.5021	1.6392	1.2095	1.1971
DUSP27	31.3297	6.4358	18.9262	12.5803	12.6116	12.6533	0.1246	6.4464	6.4430	6.5023
DUSP8	0.2503	0.3372	0.3806	0.1286	0.1867	0.2437	0.1426	0.2807	0.2230	0.2241
DVL1	0.9502	1.1500	1.2550	0.9694	1.1542	0.9261	0.8066	1.2030	0.9668	0.9363
E2F2	0.0847	0.1236	0.1308	0.2871	0.3404	0.0803	0.1499	0.2366	0.1364	0.0959
E2F3	1.1932	1.0555	1.0629	0.9713	0.8916	1.0789	1.0468	0.8793	0.9355	0.8304
E2F4	1.3563	1.1983	1.1327	1.4354	1.3212	1.3507	1.4720	1.2159	1.3403	1.3340
E4F1	0.4344	0.6120	0.6052	0.4480	0.5116	0.4866	0.4674	0.5804	0.4952	0.4654
EAF1	2.3858	3.0254	2.8070	2.0660	2.0444	2.7220	2.6793	2.5420	2.5938	2.5204
EAPP	13.3385	17.3519	16.7501	12.5935	13.4207	15.4943	14.7278	16.2942	15.8929	16.5806
EBF2	1.1304	0.4811	0.7945	0.6730	0.6663	0.8280	0.4365	0.6670	0.8481	1.1981
EBI3	0.0418	0.1041	0.0943	0.0310	0.0435	0.0764	0.0648	0.0886	0.0835	0.0957
EBP	3.4599	3.6081	3.1787	4.6078	4.4120	3.4798	4.4424	3.6219	3.3893	2.5941
EBPL	2.3170	2.6788	2.5978	2.2068	2.2480	2.3801	2.3935	2.3856	2.2448	2.0075
EDA2R	0.1758	0.1181	0.1403	0.1231	0.1150	0.1523	0.1182	0.1221	0.1481	0.1784
EDC4	0.5254	0.6862	0.6702	0.6278	0.6894	0.5728	0.6023	0.6984	0.5986	0.5502
EDF1	43.4381	42.6220	39.6284	39.7824	35.9125	43.9078	46.0403	36.7283	40.4474	37.7426
EEF1A2	14.9915	10.2885	15.4755	5.4238	7.3300	9.1002	2.0631	8.4605	6.5373	6.5271
EFCAB8	0.0064	0.0047	0.0065	0.0113	0.0132	0.0037	0.0047	0.0085	0.0047	0.0028
EFHC2	0.7695	0.5912	0.7520	0.3943	0.4288	0.5507	0.3216	0.4650	0.4184	0.3743
EFHD2	2.3414	3.4761	3.5853	3.0855	3.7456	2.6374	2.5955	3.8701	3.0097	2.9227
EFNA2	0.0080	0.0160	0.0160	0.0400	0.0480	0.0080	0.0200	0.0320	0.0160	0.0080
EFNA3	0.1925	0.5746	0.5830	0.1024	0.2439	0.3076	0.1902	0.4705	0.3152	0.3004
EFTUD1	2.3528	2.0121	2.0559	1.9442	1.7941	2.1510	2.0531	1.7818	1.9459	1.8753
EGF	5.5168	5.0464	0.6264	5.0457	0.3723	7.4725	11.8566	0.2993	4.9718	2.6151
EGFR	1.5030	1.8223	1.6085	2.9193	3.0462	1.6937	2.3981	2.4165	2.0327	1.7634
EGOT	0.8476	0.7983	0.1289	0.8649	0.1792	1.1693	1.8538	0.1493	0.8383	0.5104
EGR1	6.5445	5.4729	3.5775	5.5718	3.1146	6.8782	8.7477	2.8595	5.2645	3.9055
EHD4	3.5711	2.1886	2.6890	2.8719	2.7330	2.8041	2.3464	2.3800	2.6414	2.8689
EIF2AK3	2.2492	1.8638	2.0012	1.9439	1.8861	1.9582	1.8293	1.7689	1.7996	1.7140
EIF2B1	5.9524	6.8418	6.8456	5.3513	5.6047	6.5440	5.9780	6.6587	6.7492	7.3686
EIF2C1	2.9879	3.2733	3.3181	2.8659	3.0017	3.0954	2.9278	3.2412	3.1443	3.2383
EIF2S3	24.8849	21.5091	21.4225	22.5071	20.7563	23.8839	23.7080	20.4730	22.8437	23.2318
EIF3K	19.6075	18.8176	19.9636	17.4983	18.0160	18.4485	16.8147	18.4442	17.9688	18.0789
EIF3L	57.9515	57.5449	62.4597	58.5702	63.4238	54.6619	50.4168	62.1959	56.5713	57.5982
EIF3M	14.5124	13.1227	13.3203	12.1126	11.4065	13.4483	12.8638	11.5196	12.1641	11.4790
EIF4H	39.5409	47.0061	48.3329	32.8184	35.9822	41.4513	35.9649	43.3243	40.8973	42.0572
ELAVL2	1.1235	4.2855	4.2543	0.1527	1.1883	2.1882	1.1999	3.2466	2.1933	2.1615
ELFN1	0.4532	0.3767	0.4171	0.2538	0.2341	0.3905	0.2976	0.2872	0.3245	0.3280
